Nom,Etat,Quality,Organization,Administration,Code Postale,Region,Total des classes,Nombre total d'étudiants
  م.إ. الجمهورية ,Publique,moyenne,  توزر ,  دقاش ,   ,  بلدي ,  6 ,  146 
  م.إ. الاستقلال ,Publique,moyenne,  توزر ,  دقاش ,   ,  بلدي ,  6 ,  133 
  م.إ. طريق قبلي سدادة ,Publique,moyenne,  توزر ,  دقاش ,   ,  ريفي ,  8 ,  199 
  م.إ. زاوية العرب ,Publique,moyenne,  توزر ,  دقاش ,   ,  ريفي ,  10 ,  225 
  م.إ. العهد الجديد/ المحاسن ,Publique,excellent,  توزر ,  دقاش ,   ,  ريفي ,  10 ,  197 
  م.إ حي الانطلاقة دغومس ,Publique,moyenne,  توزر ,  دقاش ,   ,  ريفي ,  5 ,  103 
  م.إ. قرية حامة الجريد ,Publique,moyenne,  توزر ,  حامة الجريد ,   ,  بلدي ,  8 ,  172 
  م.إ. حامة الجريد ,Publique,moyenne,  توزر ,  حامة الجريد ,   ,  بلدي ,  10 ,  244 
  م.إ. شاكمو ,Publique,excellent,  توزر ,  حامة الجريد ,   ,  ريفي ,  6 ,  49 
  م.إ. ابراهيم القمودي حامة الجريد ,Publique,moyenne,  توزر ,  حامة الجريد ,   ,  بلدي ,  10 ,  226 
  م.إ. شارع بورقيبة ,Publique,moyenne,  توزر ,  نفطة ,   ,  بلدي ,  20 ,  493 
  م.إ. السني ,Publique,moyenne,  توزر ,  نفطة ,   ,  بلدي ,  12 ,  268 
  م.إ. مصطفى خريف ,Publique,moyenne,  توزر ,  نفطة ,   ,  بلدي ,  17 ,  460 
  م.إ. 2 مارس 34 ,Publique,moyenne,  توزر ,  نفطة ,   ,  بلدي ,  13 ,  328 
  م.إ. الخضر بن الحسين ,Publique,moyenne,  توزر ,  نفطة ,   ,  بلدي ,  21 ,  525 
  م.إ. الكرامة ,Publique,moyenne,  توزر ,  نفطة ,   ,  بلدي ,  12 ,  291 
  م.إ. طريق حزوة ,Publique,excellent,  توزر ,  نفطة ,   ,  بلدي ,  6 ,  115 
  م.إ. ابن رشد ,Publique,moyenne,  توزر ,  حزوة ,   ,  بلدي ,  12 ,  287 
  م.إ. ابن خلدون ,Publique,moyenne,  توزر ,  حزوة ,   ,  بلدي ,  12 ,  283 
  م.إ. التعمير ,Publique,excellent,  توزر ,  حزوة ,   ,  ريفي ,  2 ,  4 
  م.إ. تمغزة ,Publique,moyenne,  توزر ,  تمغزة ,   ,  بلدي ,  10 ,  225 
  م.إ. ميداس ,Publique,excellent,  توزر ,  تمغزة ,   ,  ريفي ,  6 ,  77 
  م.إ. الشبيكة ,Publique,excellent,  توزر ,  تمغزة ,   ,  ريفي ,  6 ,  91 
  م.إ. عين الكرمة ,Publique,excellent,  توزر ,  تمغزة ,   ,  ريفي ,  6 ,  82 
  م.إ. الرميثة ,Publique,excellent,  توزر ,  تمغزة ,   ,  ريفي ,  6 ,  70 
  م.إ. سندس ,Publique,excellent,  توزر ,  تمغزة ,   ,  ريفي ,  6 ,  53 
  م.إ. الظافرية ,Publique,excellent,  توزر ,  تمغزة ,   ,  ريفي ,  6 ,  65 
  م.إبت. المدرسة الابتدائية الفرسد ,Publique,excellent,  توزر ,  تمغزة ,   ,  ريفي ,  6 ,  27 
  م.إ. باب الجديد ,Publique,excellent,  تونس 1 ,  تونس المدينة ,   ,  بلدي ,  9 ,  178 
  م.إ. نهج المر ,Publique,excellent,  تونس 1 ,  تونس المدينة ,   ,  بلدي ,  6 ,  115 
  م.إ. نهج كتاب الوزير ,Publique,excellent,  تونس 1 ,  تونس المدينة ,   ,  بلدي ,  6 ,  87 
  م.إ. نهج الحكيم كسار ,Publique,moyenne,  تونس 1 ,  تونس المدينة ,   ,  بلدي ,  10 ,  207 
  م.إ. الصادقية نهج سنان باشا ,Publique,moyenne,  تونس 1 ,  تونس المدينة ,  01006 ,  بلدي ,  27 ,  797 
  م.إ. ساحة معقل الزعيم ,Publique,mauvaise,  تونس 1 ,  تونس المدينة ,   ,  بلدي ,  14 ,  433 
  م.إ. نهج شارل ديقول ,Publique,moyenne,  تونس 1 ,  تونس باب بحر ,   ,  بلدي ,  9 ,  196 
  م.إ. نهج روسيا عدد17 ,Publique,moyenne,  تونس 1 ,  تونس باب بحر ,   ,  بلدي ,  20 ,  400 
  م.إ. نهج الإدريسي ,Publique,moyenne,  تونس 1 ,  تونس باب بحر ,  01000 ,  بلدي ,  11 ,  264 
  م.إ. 12 نهج علي الجليلي ,Publique,moyenne,  تونس 1 ,  تونس باب بحر ,   ,  بلدي ,  12 ,  252 
  م.إ. 18 نهج الهند ,Publique,moyenne,  تونس 1 ,  تونس باب بحر ,   ,  بلدي ,  28 ,  690 
  م.إ. 29 نهج مرسيليا ,Publique,moyenne,  تونس 1 ,  تونس باب بحر ,   ,  بلدي ,  26 ,  708 
  م.إ. 80 نهج عبد الرزاق الشرايبي ,Publique,moyenne,  تونس 1 ,  تونس باب بحر ,   ,  بلدي ,  12 ,  253 
  م.إ. 16 نهج روسيا ,Publique,moyenne,  تونس 1 ,  تونس باب بحر ,   ,  بلدي ,  22 ,  575 
  م.إ. الحي الاولمبي المنجي سليم ,Publique,moyenne,  تونس 1 ,  الخضراء ,   ,  بلدي ,  24 ,  679 
  م.إ. 34/3/2 حي الخضراء 6 ,Publique,moyenne,  تونس 1 ,  الخضراء ,  01003 ,  بلدي ,  13 ,  389 
  م.إ. محمود بن شبعان 14-1 ,Publique,moyenne,  تونس 1 ,  الخضراء ,   ,  بلدي ,  15 ,  386 
  م.إ. نهج كلود برنار ,Publique,moyenne,  تونس 1 ,  الخضراء ,   ,  بلدي ,  28 ,  816 
  م.إ. ضفاف البحيرة ,Publique,mauvaise,  تونس 1 ,  الخضراء ,   ,  بلدي ,  36 ,  1332 
  م.إ. 55 نهج باب سويقة ,Publique,moyenne,  تونس 1 ,  باب سويقة ,   ,  بلدي ,  21 ,  535 
  م.إ. ساحة سيدي العلوي ,Publique,moyenne,  تونس 1 ,  باب سويقة ,   ,  بلدي ,  19 ,  493 
  م.إ. نهج الأقواس ,Publique,moyenne,  تونس 1 ,  باب سويقة ,   ,  بلدي ,  9 ,  187 
  م.إ. 3 نهج قليبية ,Publique,excellent,  تونس 1 ,  باب سويقة ,   ,  بلدي ,  12 ,  239 
  م.إ. الكبارية 1 ,Publique,moyenne,  تونس 1 ,  الكبارية ,   ,  بلدي ,  12 ,  320 
  م.إ. الكبارية 3 ,Publique,moyenne,  تونس 1 ,  الكبارية ,   ,  بلدي ,  23 ,  659 
  م.إ. الكبارية 4 ,Publique,moyenne,  تونس 1 ,  الكبارية ,   ,  بلدي ,  16 ,  409 
  م.إ. الكبارية 5 ,Publique,moyenne,  تونس 1 ,  الكبارية ,   ,  بلدي ,  14 ,  366 
  م.إ. الوردية 2 ,Publique,moyenne,  تونس 1 ,  الكبارية ,   ,  بلدي ,  19 ,  484 
  م.إ. الوردية 6 ,Publique,moyenne,  تونس 1 ,  الكبارية ,   ,  بلدي ,  18 ,  507 
  م.إ. المروج 2 الحي البلدي ,Publique,moyenne,  تونس 1 ,  الكبارية ,   ,  بلدي ,  6 ,  132 
  م.إ. ابن سينا 1 ,Publique,moyenne,  تونس 1 ,  الكبارية ,   ,  بلدي ,  15 ,  393 
  م.إ. حي النور 1 ,Publique,moyenne,  تونس 1 ,  الكبارية ,   ,  بلدي ,  14 ,  325 
  م.إ. ابن سينا 2 ,Publique,moyenne,  تونس 1 ,  الكبارية ,  02066 ,  بلدي ,  15 ,  382 
  م.إ. المروج 2-ابن خلدون ,Publique,moyenne,  تونس 1 ,  الكبارية ,   ,  بلدي ,  19 ,  567 
  م.إ. حي النور 2 ,Publique,moyenne,  تونس 1 ,  الكبارية ,   ,  بلدي ,  10 ,  240 
  م.إ. الامتياز ( ابن سينا 6-1 ) ,Publique,moyenne,  تونس 1 ,  الكبارية ,   ,  بلدي ,  12 ,  338 
  م.إ. محمود المسعدي( ابن سينا 6-2 ) ,Publique,moyenne,  تونس 1 ,  الكبارية ,   ,  بلدي ,  9 ,  219 
  م.إ. المروج 2 الغزالي ,Publique,moyenne,  تونس 1 ,  الكبارية ,   ,  بلدي ,  12 ,  310 
  م.إ. المنارة ( ابن سينا 6-3 ) ,Publique,moyenne,  تونس 1 ,  الكبارية ,   ,  بلدي ,  12 ,  339 
  م.إ. النجمة الزهراء الكبارية ,Publique,excellent,  تونس 1 ,  الكبارية ,   ,  بلدي ,  12 ,  221 
  م.إ. الهناء المروج2 ,Publique,moyenne,  تونس 1 ,  الكبارية ,   ,  بلدي ,  12 ,  303 
  م.إ. نهج علي الدوعاجي مونفلوري ,Publique,moyenne,  تونس 1 ,  تونس سيدي البشير ,   ,  بلدي ,  11 ,  266 
  م.إ. نهج كرباكة مونفلوري ,Publique,excellent,  تونس 1 ,  تونس سيدي البشير ,   ,  بلدي ,  16 ,  303 
  م.إ. نهج الساحل ,Publique,moyenne,  تونس 1 ,  تونس سيدي البشير ,   ,  بلدي ,  12 ,  290 
  م.إ. نهج العلماء ,Publique,moyenne,  تونس 1 ,  تونس سيدي البشير ,   ,  بلدي ,  27 ,  787 
  م.إ. حي هلال1 ,Publique,moyenne,  تونس 1 ,  تونس سيدي البشير ,   ,  بلدي ,  10 ,  205 
  م.إ. حي هلال 2 ,Publique,moyenne,  تونس 1 ,  تونس سيدي البشير ,   ,  بلدي ,  16 ,  413 
  م.إ. نهج الخروبة ,Publique,mauvaise,  تونس 1 ,  الوردية ,   ,  بلدي ,  17 ,  522 
  م.إ. نهج لاصوم ,Publique,moyenne,  تونس 1 ,  الوردية ,   ,  بلدي ,  12 ,  300 
  م.إ. الوردية 1 ,Publique,moyenne,  تونس 1 ,  الوردية ,   ,  بلدي ,  15 ,  388 
  م.إ. الوفاء نهج صالح المالقي ,Publique,moyenne,  تونس 1 ,  الوردية ,   ,  بلدي ,  12 ,  340 
  م.إ. حي الازدهار الوردية ,Publique,moyenne,  تونس 1 ,  الوردية ,   ,  بلدي ,  19 ,  481 
  م.إ. 2 مارس لاكانيا ,Publique,moyenne,  تونس 1 ,  الوردية ,   ,  بلدي ,  17 ,  485 
  م.إ. حي محمد علي الوردية ,Publique,moyenne,  تونس 1 ,  الوردية ,   ,  بلدي ,  6 ,  164 
  م.إ. 9 نهج 2 مارس حلق الواد ,Publique,moyenne,  تونس 1 ,  حلق الوادي ,   ,  بلدي ,  12 ,  286 
  م.إ. خير الدين الكرم ,Publique,moyenne,  تونس 1 ,  حلق الوادي ,   ,  بلدي ,  13 ,  343 
  م.إ. العوينة طريق سكرة ,Publique,mauvaise,  تونس 1 ,  حلق الوادي ,   ,  بلدي ,  27 ,  902 
  م.إ. العوينة حي المهيري ,Publique,moyenne,  تونس 1 ,  حلق الوادي ,   ,  بلدي ,  21 ,  541 
  م.إ. حي العمارات العوينة ,Publique,moyenne,  تونس 1 ,  حلق الوادي ,   ,  بلدي ,  18 ,  487 
  م.إ.حدائق العوينة ,Publique,mauvaise,  تونس 1 ,  حلق الوادي ,   ,  بلدي ,  16 ,  486 
  م.إ. نهج حمام الأنف ,Publique,moyenne,  تونس 1 ,  جبل الجلود ,   ,  بلدي ,  13 ,  321 
  م.إ. طريق لاكانيا ,Publique,moyenne,  تونس 1 ,  جبل الجلود ,   ,  بلدي ,  12 ,  258 
  م.إ. نهج فليب فيل ,Publique,moyenne,  تونس 1 ,  جبل الجلود ,   ,  بلدي ,  11 ,  272 
  م.إ. سيدي فتح الله 1 ,Publique,moyenne,  تونس 1 ,  جبل الجلود ,   ,  بلدي ,  18 ,  496 
  م.إ. سيدي فتح الله 2 ,Publique,moyenne,  تونس 1 ,  جبل الجلود ,   ,  بلدي ,  17 ,  470 
  م.إ. حي ثامر ,Publique,excellent,  تونس 1 ,  جبل الجلود ,   ,  بلدي ,  5 ,  93 
  م.إ. نهج الورد ,Publique,moyenne,  تونس 1 ,  المرسى ,   ,  بلدي ,  23 ,  626 
  م.إ. شارع بورقيبة ,Publique,moyenne,  تونس 1 ,  المرسى ,   ,  بلدي ,  18 ,  494 
  م.إ. حي الرياض ,Publique,moyenne,  تونس 1 ,  المرسى ,   ,  بلدي ,  18 ,  429 
  م.إ. المرسى شارع الطيب المهيري ,Publique,moyenne,  تونس 1 ,  المرسى ,   ,  بلدي ,  15 ,  443 
  م.إ. قمرت ,Publique,moyenne,  تونس 1 ,  المرسى ,   ,  بلدي ,  16 ,  390 
  م.إ. سيدي داود ,Publique,mauvaise,  تونس 1 ,  المرسى ,   ,  بلدي ,  24 ,  760 
  م.إ. فرحات حشاد ,Publique,moyenne,  تونس 1 ,  المرسى ,   ,  بلدي ,  30 ,  882 
  م.إ. البحر الأزرق ,Publique,moyenne,  تونس 1 ,  المرسى ,   ,  بلدي ,  37 ,  1102 
  م.إ. نهج محمد علي ,Publique,moyenne,  تونس 1 ,  المرسى ,   ,  بلدي ,  18 ,  507 
  م.إ. الحي الجديد ,Publique,moyenne,  تونس 1 ,  المرسى ,   ,  بلدي ,  10 ,  247 
  م.إ. حروش ,Publique,excellent,  تونس 1 ,  المرسى ,   ,  بلدي ,  6 ,  110 
  م.إ. حي الخليل ,Publique,moyenne,  تونس 1 ,  المرسى ,   ,  بلدي ,  10 ,  264 
  م.إ. صلامبو نهج بلوتارك ,Publique,mauvaise,  تونس 1 ,  قرطاج ,   ,  بلدي ,  20 ,  651 
  م.إ. 32 حي عقبة ابن نافع قرطاج بيرصة ,Publique,moyenne,  تونس 1 ,  قرطاج ,   ,  بلدي ,  18 ,  518 
  م.إ. 2 نهج تانيت ,Publique,moyenne,  تونس 1 ,  قرطاج ,   ,  بلدي ,  15 ,  395 
  م.إ. نهج ابن خلدون أميلكار ,Publique,moyenne,  تونس 1 ,  قرطاج ,   ,  بلدي ,  6 ,  136 
  م.إ. 6 نهج 2 مارس سيدي بوسعيد ,Publique,moyenne,  تونس 1 ,  قرطاج ,   ,  بلدي ,  11 ,  274 
  م.إ. قرطاج الياسمينة نهج طارق ابن ,Publique,moyenne,  تونس 1 ,  قرطاج ,   ,  بلدي ,  21 ,  542 
  م.إ. حي محمد علي ,Publique,moyenne,  تونس 1 ,  قرطاج ,   ,  بلدي ,  12 ,  334 
  م.إ. المدرسة الدوليـة تونس ,Publique,moyenne,  تونس 1 ,  قرطاج ,   ,  بلدي ,  13 ,  361 
  م.إ. نهج ليبيا صلامبو ,Publique,moyenne,  تونس 1 ,  الكرم ,   ,  بلدي ,  15 ,  316 
  م.إ. نهج بوشوشة ,Publique,moyenne,  تونس 1 ,  الكرم ,   ,  بلدي ,  15 ,  412 
  م.إ. شارع بورقيبة ,Publique,moyenne,  تونس 1 ,  الكرم ,   ,  بلدي ,  19 ,  542 
  م.إ. شط البحيرة عين زغوان ,Publique,moyenne,  تونس 1 ,  الكرم ,   ,  بلدي ,  12 ,  305 
  م.إ. سيدي عمر الكرم الغربي ,Publique,moyenne,  تونس 1 ,  الكرم ,   ,  بلدي ,  14 ,  370 
  م.إ. المنجي سليم عين زغوان ,Publique,moyenne,  تونس 1 ,  الكرم ,   ,  بلدي ,  15 ,  419 
  م.إ. 2 نهج فرحات حشاد صلامبو ,Publique,moyenne,  تونس 1 ,  الكرم ,   ,  بلدي ,  17 ,  505 
  م.إ. 1 نهج 5 ديسمبر صلامبو ,Publique,moyenne,  تونس 1 ,  الكرم ,   ,  بلدي ,  19 ,  567 
  م.إ. ساحة منداس فرانس ميتيال فيل ,Publique,moyenne,  تونس 2 ,  المنزه ,   ,  بلدي ,  12 ,  336 
  م.إ. الهادي خفشة ,Publique,moyenne,  تونس 2 ,  المنزه ,   ,  بلدي ,  24 ,  647 
  م.إ. حي المنار 2 ,Publique,moyenne,  تونس 2 ,  المنزه ,   ,  بلدي ,  22 ,  603 
  م.إ. المنزه التاسع ,Publique,moyenne,  تونس 2 ,  المنزه ,   ,  بلدي ,  14 ,  342 
  م.إ. المنار 1 ,Publique,moyenne,  تونس 2 ,  المنزه ,   ,  بلدي ,  18 ,  469 
  م.إ. حدائق المنزه ,Publique,moyenne,  تونس 2 ,  المنزه ,   ,  بلدي ,  14 ,  299 
  م.إ. نهج فاس/رأس الطابية ,Publique,moyenne,  تونس 2 ,  العمران ,   ,  بلدي ,  12 ,  266 
  م.إ. بئر عتيق جبل الأحمر ,Publique,moyenne,  تونس 2 ,  العمران ,   ,  بلدي ,  12 ,  284 
  م.إ. بئر الكرم جبل الأحمر ,Publique,moyenne,  تونس 2 ,  العمران ,   ,  بلدي ,  13 ,  325 
  م.إ. الفوز العمران ,Publique,moyenne,  تونس 2 ,  العمران ,   ,  بلدي ,  8 ,  193 
  م.إ. حي الزياتين 1 ,Publique,moyenne,  تونس 2 ,  العمران ,   ,  بلدي ,  12 ,  333 
  م.إ. 16 نهج بشار ةالخوري ,Publique,moyenne,  تونس 2 ,  العمران ,   ,  بلدي ,  18 ,  427 
  م.إ. 2 مارس 34 العمران ,Publique,excellent,  تونس 2 ,  العمران ,   ,  بلدي ,  6 ,  118 
  م.إ. نهج بولونيا ,Publique,moyenne,  تونس 2 ,  العمران ,   ,  بلدي ,  20 ,  478 
  م.إ. حي الزياتين 2 ,Publique,moyenne,  تونس 2 ,  العمران ,   ,  بلدي ,  16 ,  441 
  م.إ. حي الرمانة ,Publique,moyenne,  تونس 2 ,  العمران ,   ,  بلدي ,  11 ,  230 
  م.إ. شارع الحبيب بورقيبة باردو ,Publique,moyenne,  تونس 2 ,  باردو ,   ,  بلدي ,  17 ,  461 
  م.إ. نهج الصنوبر باردو ,Publique,moyenne,  تونس 2 ,  باردو ,   ,  بلدي ,  10 ,  228 
  م.إ. نهج مدنين باردو ,Publique,moyenne,  تونس 2 ,  باردو ,   ,  بلدي ,  6 ,  147 
  م.إ. نهج تازركة باردو ,Publique,mauvaise,  تونس 2 ,  باردو ,   ,  بلدي ,  19 ,  583 
  م.إ. نهج البرتقال ,Publique,moyenne,  تونس 2 ,  باردو ,   ,  بلدي ,  22 ,  485 
  م.إ. السعيدية باردو ,Publique,mauvaise,  تونس 2 ,  باردو ,   ,  بلدي ,  24 ,  823 
  م.إ. قصر السعيد 1 ,Publique,moyenne,  تونس 2 ,  باردو ,   ,  بلدي ,  14 ,  335 
  م.إ. حي الرياض باردو ,Publique,moyenne,  تونس 2 ,  باردو ,   ,  بلدي ,  18 ,  463 
  م.إ. حي ضباط الصف باردو ,Publique,moyenne,  تونس 2 ,  باردو ,   ,  بلدي ,  16 ,  385 
  م.إ. 2 مارس 34 قصر السعيد 2 ,Publique,moyenne,  تونس 2 ,  باردو ,   ,  بلدي ,  10 ,  214 
  م.إ. قصر السعيد 3 ,Publique,moyenne,  تونس 2 ,  باردو ,   ,  بلدي ,  12 ,  302 
  م.إ. نهج الهادي شاكر باردو ,Publique,moyenne,  تونس 2 ,  باردو ,   ,  بلدي ,  15 ,  384 
  م.إ. ابن سينا باردو ,Publique,moyenne,  تونس 2 ,  باردو ,   ,  بلدي ,  12 ,  280 
  م.إ. النجاح الملاسين ,Publique,moyenne,  تونس 2 ,  السيجومي ,   ,  بلدي ,  6 ,  125 
  م.إ. 2 مارس 34 الملاسين ,Publique,moyenne,  تونس 2 ,  السيجومي ,   ,  بلدي ,  24 ,  597 
  م.إ. باب خالد الملاسين ,Publique,excellent,  تونس 2 ,  السيجومي ,   ,  بلدي ,  6 ,  113 
  م.إ. العمارية نهج 4157 ,Publique,moyenne,  تونس 2 ,  الزهور ,   ,  بلدي ,  22 ,  605 
  م.إ. حي الطيران 1 نج 4616 ,Publique,moyenne,  تونس 2 ,  الزهور ,   ,  بلدي ,  12 ,  316 
  م.إ. حي الزهور 1 نهج الاكليل ,Publique,moyenne,  تونس 2 ,  الزهور ,   ,  بلدي ,  18 ,  478 
  م.إ. حي الزهور 4 نهج 4200 ,Publique,moyenne,  تونس 2 ,  الزهور ,   ,  بلدي ,  18 ,  478 
  م.إ. السمران نهج 4137 ,Publique,excellent,  تونس 2 ,  الزهور ,   ,  بلدي ,  12 ,  237 
  م.إ. حي الطيران 2 ,Publique,moyenne,  تونس 2 ,  الزهور ,   ,  بلدي ,  12 ,  286 
  م.إ. حي الطيران 3 ,Publique,moyenne,  تونس 2 ,  الزهور ,   ,  بلدي ,  6 ,  136 
  م.إ. باش حامبة2 ,Publique,moyenne,  تونس 2 ,  الزهور ,   ,  بلدي ,  20 ,  549 
  م.إ. حي بن سديرة ,Publique,moyenne,  تونس 2 ,  الزهور ,   ,  بلدي ,  6 ,  180 
  م.إ. التحرير 1 ,Publique,moyenne,  تونس 2 ,  التحرير ,   ,  بلدي ,  18 ,  475 
  م.إ. حي التحرير 2 ,Publique,moyenne,  تونس 2 ,  التحرير ,   ,  بلدي ,  20 ,  561 
  م.إ. حي التحرير 3 ,Publique,moyenne,  تونس 2 ,  التحرير ,   ,  بلدي ,  17 ,  439 
  م.إ. التحرير العلوي ,Publique,mauvaise,  تونس 2 ,  التحرير ,   ,  بلدي ,  14 ,  439 
  م.إ. حي ابن خلدون 2 ,Publique,moyenne,  تونس 2 ,  العمران الأعلى ,   ,  بلدي ,  22 ,  558 
  م.إ. حي ابن خلدون 3 ,Publique,moyenne,  تونس 2 ,  العمران الأعلى ,   ,  بلدي ,  19 ,  524 
  م.إ. حي ابن خلدون 5 ,Publique,moyenne,  تونس 2 ,  العمران الأعلى ,   ,  بلدي ,  12 ,  314 
  م.إ. حي ابن خلدون 6 ,Publique,moyenne,  تونس 2 ,  العمران الأعلى ,   ,  بلدي ,  17 ,  407 
  م.إ. الانطلاقة 2 ,Publique,moyenne,  تونس 2 ,  العمران الأعلى ,   ,  بلدي ,  17 ,  425 
  م.إ. حي الانطلاقة 3 ,Publique,moyenne,  تونس 2 ,  العمران الأعلى ,   ,  بلدي ,  21 ,  569 
  م.إ. حي الانطلاقة 1 -34/3/2 ,Publique,moyenne,  تونس 2 ,  العمران الأعلى ,   ,  بلدي ,  19 ,  505 
  م.إ. الامام بن عرفة ,Publique,moyenne,  تونس 2 ,  العمران الأعلى ,   ,  بلدي ,  22 ,  615 
  م.إ. الشابي - العمران الاعلى34/3/2 ,Publique,moyenne,  تونس 2 ,  العمران الأعلى ,   ,  بلدي ,  13 ,  307 
  م.إ. حي الزهور 4 الممتدّ ,Publique,excellent,  تونس 2 ,  الحرايرية ,   ,  بلدي ,  12 ,  216 
  م.إ. حي الزهور 5 الممتدّ 1 ,Publique,moyenne,  تونس 2 ,  الحرايرية ,   ,  بلدي ,  20 ,  536 
  م.إ. حي الزهور 5 الممتدّ 2 ,Publique,moyenne,  تونس 2 ,  الحرايرية ,   ,  بلدي ,  19 ,  527 
  م.إ. حي الزهور 1/5 ,Publique,moyenne,  تونس 2 ,  الحرايرية ,   ,  بلدي ,  12 ,  266 
  م.إ. 2 مارس 34 الحرايرية 4 ,Publique,moyenne,  تونس 2 ,  الحرايرية ,   ,  بلدي ,  16 ,  413 
  م.إ. حي بوزيان الزهور ,Publique,moyenne,  تونس 2 ,  الحرايرية ,   ,  بلدي ,  14 ,  362 
  م.إ. الحرايرية 3 ,Publique,moyenne,  تونس 2 ,  الحرايرية ,   ,  بلدي ,  13 ,  285 
  م.إ. حي العنتيت ,Publique,moyenne,  تونس 2 ,  الحرايرية ,   ,  بلدي ,  18 ,  440 
  م.إ. عقبة ابن نافع 2 الزهور ,Publique,moyenne,  تونس 2 ,  الحرايرية ,   ,  بلدي ,  24 ,  653 
  م.إ. حي الزهور 2/5 ,Publique,moyenne,  تونس 2 ,  الحرايرية ,   ,  بلدي ,  12 ,  301 
  م.إ. 18 جانفي الحرايرية ,Publique,moyenne,  تونس 2 ,  الحرايرية ,   ,  بلدي ,  10 ,  203 
  م.إ. الزهروني ,Publique,moyenne,  تونس 2 ,  الحرايرية ,   ,  بلدي ,  18 ,  525 
  م.إ. حي السلامة ,Publique,moyenne,  تونس 2 ,  الحرايرية ,   ,  بلدي ,  15 ,  403 
  م.إ. غدير القلة ,Publique,moyenne,  تونس 2 ,  الحرايرية ,   ,  بلدي ,  17 ,  433 
  م.إ. حي الفلة ,Publique,mauvaise,  تونس 2 ,  الحرايرية ,   ,  بلدي ,  18 ,  542 
  م.إ. المشتل 1 ,Publique,moyenne,  تونس 2 ,  الحرايرية ,   ,  بلدي ,  18 ,  435 
  م.إ. المشتل 2 ,Publique,moyenne,  تونس 2 ,  الحرايرية ,   ,  بلدي ,  12 ,  240 
  م.إ. عقبة ابن نافع 1 ,Publique,moyenne,  تونس 2 ,  الحرايرية ,   ,  بلدي ,  17 ,  378 
  م.إ. حي الصحة ,Publique,mauvaise,  تونس 2 ,  الحرايرية ,   ,  بلدي ,  17 ,  533 
  م.إ. حي الواحة ,Publique,moyenne,  تونس 2 ,  الحرايرية ,   ,  بلدي ,  6 ,  167 
  م.إ. العطار ,Publique,excellent,  تونس 2 ,  سيدي حسين ,   ,  بلدي ,  6 ,  87 
  م.إ. بيرين ,Publique,mauvaise,  تونس 2 ,  سيدي حسين ,   ,  بلدي ,  23 ,  716 
  م.إ. برج شاكير ,Publique,moyenne,  تونس 2 ,  سيدي حسين ,   ,  بلدي ,  12 ,  253 
  م.إ. مغيره انزال ,Publique,excellent,  تونس 2 ,  سيدي حسين ,   ,  بلدي ,  6 ,  105 
  م.إ. السيجومي ,Publique,moyenne,  تونس 2 ,  سيدي حسين ,   ,  بلدي ,  14 ,  399 
  م.إ. سيدي حسين 1 ,Publique,moyenne,  تونس 2 ,  سيدي حسين ,   ,  بلدي ,  19 ,  558 
  م.إ. الشابي حي مراد ,Publique,mauvaise,  تونس 2 ,  سيدي حسين ,   ,  بلدي ,  24 ,  898 
  م.إ. حي 20 مارس السيجومي ,Publique,mauvaise,  تونس 2 ,  سيدي حسين ,   ,  بلدي ,  34 ,  1272 
  م.إ. سيدي حسين 2 ,Publique,mauvaise,  تونس 2 ,  سيدي حسين ,   ,  بلدي ,  41 ,  1366 
  م.إ. سيدي عبد الله المعيو ,Publique,moyenne,  تونس 2 ,  سيدي حسين ,   ,  بلدي ,  14 ,  385 
  م.إ. حي الفتح ,Publique,moyenne,  تونس 2 ,  سيدي حسين ,   ,  بلدي ,  19 ,  494 
  م.إ. حي بوقطفة ,Publique,mauvaise,  تونس 2 ,  سيدي حسين ,   ,  بلدي ,  34 ,  1114 
  م.إ. الجيارة 1 ,Publique,mauvaise,  تونس 2 ,  سيدي حسين ,   ,  بلدي ,  17 ,  529 
  م.إ. سيدي حسين 3 ,Publique,mauvaise,  تونس 2 ,  سيدي حسين ,   ,  بلدي ,  28 ,  1042 
  م.إ. الجيارة 2 ,Publique,mauvaise,  تونس 2 ,  سيدي حسين ,   ,  بلدي ,  16 ,  522 
  م.إ. سيدي حسين 4- حي 25 جويلية ,Publique,mauvaise,  تونس 2 ,  سيدي حسين ,   ,  بلدي ,  19 ,  578 
  م.إ. عمر المختار ,Publique,moyenne,  تونس 2 ,  سيدي حسين ,   ,  بلدي ,  9 ,  235 
  م.إ. حي المنجي سليم المغيرة إنزال ,Publique,moyenne,  تونس 2 ,  سيدي حسين ,   ,  بلدي ,  6 ,  147 
  م.إ. بن بشير ,Publique,excellent,  جندوبة ,  جندوبة الشمالية ,   ,  ريفي ,  10 ,  168 
  م.إ. بلاريجيا ,Publique,moyenne,  جندوبة ,  جندوبة الشمالية ,   ,  ريفي ,  7 ,  160 
  م.إ. الخضراء ,Publique,excellent,  جندوبة ,  جندوبة الشمالية ,   ,  ريفي ,  6 ,  116 
  م.إ. حي الهادي بن حسين ,Publique,moyenne,  جندوبة ,  جندوبة الشمالية ,   ,  بلدي ,  13 ,  322 
  م.إ. عين القصير ,Publique,excellent,  جندوبة ,  جندوبة الشمالية ,   ,  ريفي ,  7 ,  132 
